,acc_x,acc_y,acc_z,freeacc_x,freeacc_y,freeacc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,-0.084785,-0.095127,9.826403,0.048301,0.068921,-0.014181,-0.0205,0.014358,0.00428,0.296631,0.508301,-0.946289
1,-0.08107,-0.129045,9.814272,0.079642,0.082448,-0.002098,-0.019992,0.01395,0.002417,0.298828,0.50415,-0.952881
2,-0.075624,-0.10854,9.807243,0.058229,0.081215,0.005061,-0.018618,0.012418,0.001131,0.296875,0.506104,-0.953125
3,-0.077,-0.110385,9.807212,0.060495,0.080559,0.00507,-0.019016,0.015625,-0.000326,0.301025,0.50415,-0.946289
4,-0.051433,-0.09187,9.813706,0.034808,0.099418,-0.001018,-0.021828,0.0134,0.004569,0.301025,0.506348,-0.953125
5,-0.086543,-0.136746,9.814121,0.088051,0.079248,-0.002053,-0.018147,0.014502,0.000248,0.296875,0.50415,-0.948486
6,-0.042352,-0.105134,9.794557,0.044741,0.111739,0.018214,-0.018295,0.014191,0.004545,0.307373,0.502197,-0.946045
7,-0.069023,-0.142235,9.827564,0.087995,0.097714,-0.015269,-0.018612,0.01242,0.001119,0.298828,0.506348,-0.944092
8,-0.022968,-0.125517,9.847608,0.05802,0.136726,-0.034627,-0.019943,0.011462,0.001415,0.299072,0.501953,-0.948486
9,-0.046198,-0.110784,9.794477,0.051182,0.109596,0.018221,-0.020022,0.016442,0.003382,0.299072,0.501953,-0.948486
10,-0.013897,-0.138889,9.828451,0.067999,0.149073,-0.015389,-0.018608,0.012421,0.001113,0.296875,0.506104,-0.946289
11,-0.00844,-0.118376,9.821476,0.046916,0.148149,-0.008277,-0.01998,0.013952,0.002393,0.301025,0.50415,-0.950684
12,-0.018223,-0.127967,9.78882,0.05881,0.141086,0.024207,-0.020843,0.015078,0.001812,0.302979,0.506348,-0.950684
13,-0.051672,-0.118385,9.794361,0.059642,0.106455,0.018235,-0.016407,0.012254,0.001388,0.296875,0.499756,-0.946045
14,-0.031219,-0.136987,9.847432,0.070789,0.132004,-0.034608,-0.021348,0.015484,0.003667,0.298828,0.50415,-0.946289
15,-0.022368,-0.133659,9.788736,0.065309,0.138877,0.024217,-0.019974,0.013953,0.002383,0.305176,0.502197,-0.943848
16,-0.015434,-0.127995,9.821347,0.057331,0.144154,-0.008281,-0.018792,0.014597,0.006383,0.302979,0.50415,-0.944092
17,-0.03714,-0.12804,9.807776,0.063843,0.123445,0.00499,-0.021344,0.015485,0.003659,0.302979,0.50415,-0.948486
18,-0.033375,-0.161897,9.795552,0.094811,0.136778,0.017154,-0.01875,0.012108,0.005393,0.294922,0.501953,-0.950684
19,-0.045029,-0.100012,9.819912,0.039012,0.107753,-0.007168,-0.020008,0.016444,0.003358,0.300781,0.508301,-0.944092
20,-0.06148,-0.13193,9.794131,0.074219,0.100944,0.018276,-0.02008,0.011151,0.005683,0.298828,0.508301,-0.950928
21,-0.047542,-0.103767,9.819861,0.043229,0.106152,-0.007168,-0.016397,0.012258,0.001372,0.303223,0.502197,-0.946045
22,-0.048818,-0.105558,9.819836,0.045171,0.105251,-0.007169,-0.020118,0.013639,0.006664,0.296875,0.50415,-0.948486
23,-0.041911,-0.10006,9.852466,0.037572,0.110706,-0.039682,-0.02098,0.014766,0.006082,0.303223,0.502197,-0.943848
24,-0.071787,-0.107587,9.806219,0.053624,0.083654,0.006119,-0.019098,0.012832,0.00294,0.298828,0.50415,-0.946289
25,-0.07985,-0.131907,9.81306,0.079267,0.083245,-0.00091,-0.019605,0.013236,0.004797,0.301025,0.501953,-0.955078
26,-0.086269,-0.102034,9.825259,0.052248,0.068139,-0.013105,-0.021291,0.013001,0.002649,0.298828,0.508301,-0.948486
27,-0.06388,-0.122739,9.787021,0.065788,0.09536,0.025374,-0.015605,0.01611,0.003913,0.301025,0.50415,-0.948486
28,-0.065343,-0.124483,9.78699,0.067714,0.094438,0.025378,-0.02011,0.01364,0.006648,0.305176,0.502197,-0.948486
29,-0.070264,-0.109567,9.838733,0.054523,0.085939,-0.02638,-0.020778,0.012599,0.000783,0.305176,0.50415,-0.948486
30,-0.078382,-0.134024,9.845546,0.079877,0.08535,-0.033389,-0.020462,0.014364,0.004205,0.299072,0.5,-0.952881
31,-0.081277,-0.120956,9.805989,0.068577,0.078356,0.006169,-0.018265,0.014195,0.00449,0.302979,0.50415,-0.946289
32,-0.094482,-0.113418,9.825058,0.064966,0.063516,-0.01306,-0.02042,0.011876,0.003213,0.302979,0.506348,-0.944092
33,-0.097219,-0.100304,9.78551,0.053643,0.056531,0.02649,-0.017754,0.013793,0.002628,0.299072,0.501953,-0.946045
34,-0.078411,-0.104155,9.79906,0.051401,0.07569,0.013187,-0.020457,0.014365,0.004195,0.296875,0.501953,-0.943848
35,-0.098448,-0.119193,9.824951,0.071452,0.061319,-0.013029,-0.020926,0.01228,0.005064,0.296875,0.50415,-0.946289
36,-0.081078,-0.108137,9.798996,0.055643,0.074098,0.013198,-0.019121,0.015323,0.003899,0.302979,0.50415,-0.950684
37,-0.074199,-0.102671,9.831658,0.04814,0.079523,-0.019347,-0.020766,0.012604,0.000762,0.296875,0.501953,-0.952881
38,-0.071863,-0.121428,9.779824,0.06551,0.08647,0.032448,-0.018609,0.014922,0.002037,0.298828,0.50415,-0.948486
39,-0.085264,-0.113839,9.798895,0.06218,0.07186,0.013221,-0.018608,0.014922,0.002034,0.296631,0.508301,-0.946289
40,-0.073344,-0.140189,9.81925,0.083356,0.091168,-0.00706,-0.020291,0.014691,-0.000116,0.296875,0.50415,-0.952881
41,-0.035771,-0.131086,9.80692,0.063651,0.124271,0.00582,-0.019077,0.012837,0.0029,0.298828,0.508301,-0.946289
42,-0.06931,-0.121568,9.812392,0.064178,0.089322,-8.7e-05,-0.019465,0.016051,0.001447,0.294678,0.506104,-0.946289
43,-0.058604,-0.132807,9.793255,0.072022,0.102626,0.019159,-0.018175,0.009222,0.002489,0.301025,0.506348,-0.948486
44,-0.051549,-0.127208,9.825937,0.064242,0.107743,-0.013407,-0.018092,0.014522,0.000166,0.301025,0.506348,-0.948486
45,-0.022379,-0.125313,9.780927,0.054243,0.13479,0.032011,-0.018129,0.01701,0.001152,0.298828,0.50415,-0.950684
46,-0.042666,-0.140239,9.806766,0.074048,0.120124,0.005841,-0.019932,0.013966,0.002308,0.296875,0.50415,-0.950684
47,-0.035847,-0.134754,9.839454,0.066619,0.125524,-0.026729,-0.018248,0.014196,0.004455,0.298828,0.50415,-0.946289
48,-0.038587,-0.121512,9.79995,0.054889,0.118304,0.012776,-0.019579,0.013238,0.004741,0.298828,0.506348,-0.953125
49,-0.026507,-0.147862,9.820286,0.07644,0.137886,-0.007482,-0.018557,0.012438,0.001024,0.303223,0.497803,-0.948242
50,-0.032964,-0.117846,9.832622,0.049501,0.122798,-0.019804,-0.018244,0.014197,0.004449,0.298828,0.506348,-0.950684
51,-0.022233,-0.128954,9.81349,0.057321,0.136111,-0.000563,-0.017184,0.010911,-0.000255,0.299072,0.5,-0.948242
52,-0.045055,-0.113778,9.760371,0.049687,0.108903,0.052283,-0.023488,0.015667,0.003275,0.302979,0.508545,-0.953125
53,-0.0489,-0.114234,9.851644,0.050519,0.106574,-0.039035,-0.017381,0.013068,0.005024,0.298828,0.50415,-0.946289
54,-0.019438,-0.112227,9.806684,0.040126,0.133395,0.006332,-0.017891,0.013467,0.006879,0.296875,0.50415,-0.952881
55,-0.0491,-0.119225,9.760286,0.056138,0.106684,0.052294,-0.017728,0.013798,0.002582,0.296875,0.501953,-0.946045
56,-0.025866,-0.099109,9.858488,0.029251,0.123834,-0.045511,-0.018711,0.012111,0.005304,0.30127,0.497803,-0.952637
57,-0.043495,-0.115511,9.792974,0.050777,0.111107,0.019697,-0.018236,0.014198,0.004434,0.301025,0.506348,-0.946289
58,-0.053085,-0.124597,9.760198,0.062408,0.104182,0.052305,-0.018583,0.014929,0.001994,0.302979,0.506348,-0.948486
59,-0.032928,-0.143637,9.813256,0.074392,0.129774,-0.000535,-0.018196,0.011712,0.003441,0.296875,0.501953,-0.946045
60,-0.059468,-0.111644,9.811998,0.051516,0.094666,0.000466,-0.020077,0.013639,0.006569,0.299072,0.501953,-0.946045
61,-0.072873,-0.10431,9.831075,0.048274,0.080024,-0.018766,-0.02077,0.015102,0.00169,0.301025,0.506348,-0.948486
62,-0.062242,-0.115605,9.811935,0.055761,0.093101,0.000474,-0.019216,0.012509,0.007146,0.301025,0.5,-0.950684
63,-0.071707,-0.124797,9.779142,0.067608,0.086423,0.033101,-0.02042,0.014371,0.004123,0.303223,0.502197,-0.948486
64,-0.064983,-0.119547,9.81187,0.060063,0.091566,0.000485,-0.020419,0.014372,0.004121,0.294678,0.508301,-0.948486
65,-0.078389,-0.112117,9.830946,0.056837,0.076918,-0.018745,-0.018226,0.0142,0.004417,0.301025,0.50415,-0.950684
66,-0.076024,-0.13054,9.779035,0.073854,0.083931,0.033125,-0.019941,0.01646,0.003249,0.301025,0.501953,-0.94165
67,-0.081207,-0.115909,9.830879,0.061077,0.075294,-0.018733,-0.019174,0.010024,0.006144,0.300781,0.508301,-0.950928
68,-0.063588,-0.104711,9.805091,0.045079,0.088201,0.007332,-0.020759,0.015106,0.001673,0.302979,0.506348,-0.950684
69,-0.105134,-0.102426,9.777729,0.055458,0.047539,0.03413,-0.01835,0.011379,0.007712,0.300781,0.508301,-0.950928
70,-0.05686,-0.116515,9.877225,0.053673,0.098827,-0.064748,-0.018911,0.015668,-0.00047,0.298828,0.508301,-0.948486
71,-0.09591,-0.115361,9.75855,0.065124,0.05997,0.053386,-0.018219,0.014201,0.004403,0.298828,0.506348,-0.950684
72,-0.081041,-0.1029,9.824081,0.048031,0.071021,-0.011893,-0.021229,0.01302,0.002528,0.301025,0.506348,-0.953125
73,-0.057156,-0.138846,9.825232,0.075174,0.104548,-0.012849,-0.020752,0.015108,0.00166,0.296875,0.50415,-0.948486
74,-0.083836,-0.106931,9.824014,0.052294,0.069414,-0.011882,-0.019381,0.013582,0.000386,0.299072,0.5,-0.952881
75,-0.085162,-0.108727,9.823983,0.054563,0.068756,-0.011875,-0.01719,0.013409,0.000685,0.296875,0.50415,-0.948486
76,-0.058386,-0.105463,9.870428,0.043095,0.093795,-0.057937,-0.019071,0.015332,0.003809,0.294922,0.499756,-0.948242
77,-0.037006,-0.11062,9.792784,0.042299,0.114981,0.019975,-0.019722,0.014318,-0.002059,0.302979,0.506348,-0.953125
78,-0.05032,-0.103304,9.811867,0.038877,0.100038,0.000734,-0.020365,0.01189,0.003095,0.298828,0.50415,-0.952881
79,-0.046381,-0.1371,9.799315,0.070045,0.113567,0.013212,-0.02122,0.013021,0.00251,0.301025,0.506348,-0.946289
80,-0.060938,-0.114496,9.779006,0.052586,0.092475,0.0334,-0.019886,0.013979,0.002227,0.301025,0.501953,-0.952881
81,-0.028983,-0.143198,9.81294,0.07028,0.131977,-0.000202,-0.019885,0.01398,0.002224,0.299072,0.5,-0.955078
82,-0.047591,-0.104042,9.844561,0.038033,0.102845,-0.031928,-0.018038,0.014543,8.7e-05,0.301025,0.506348,-0.950684
83,-0.024748,-0.124527,9.80631,0.051164,0.130216,0.006553,-0.021862,0.010591,0.007655,0.301025,0.501953,-0.950684
84,-0.040991,-0.156034,9.780029,0.086063,0.123501,0.032486,-0.017045,0.01624,-0.002634,0.294678,0.506104,-0.950684
85,-0.032704,-0.096508,9.818812,0.026552,0.114463,-0.00595,-0.02005,0.013638,0.006507,0.296875,0.50415,-0.950684
86,-0.023791,-0.16191,9.793663,0.086332,0.141843,0.019065,-0.019058,0.015334,0.003787,0.303223,0.502197,-0.950684
87,-0.062541,-0.120672,9.811599,0.058292,0.092994,0.000761,-0.019877,0.013982,0.00221,0.298828,0.50415,-0.944092
88,-0.011638,-0.136142,9.819877,0.057733,0.146097,-0.006884,-0.01902,0.012851,0.002791,0.296631,0.508301,-0.953125
89,-0.046239,-0.111233,9.785888,0.0445,0.105308,0.026726,-0.019874,0.013983,0.002205,0.302979,0.506348,-0.948486
90,-0.022356,-0.147075,9.786991,0.071355,0.138534,0.025807,-0.019873,0.013983,0.002203,0.301025,0.50415,-0.948486
91,-0.055786,-0.137664,9.792352,0.072196,0.10387,0.020026,-0.020863,0.012287,0.004916,0.299072,0.501953,-0.950684
92,-0.057238,-0.139485,9.792318,0.074218,0.102955,0.020031,-0.016385,0.017251,0.003219,0.296875,0.50415,-0.948486
93,-0.038659,-0.143607,9.806005,0.072512,0.122279,0.006586,-0.02339,0.013201,0.002165,0.301025,0.501953,-0.946045
94,-0.065209,-0.111807,9.80485,0.049628,0.087195,0.007497,-0.019526,0.013245,0.004631,0.296875,0.501953,-0.950684
95,-0.054498,-0.122981,9.785705,0.057277,0.10057,0.026743,-0.02038,0.014378,0.004044,0.298828,0.508301,-0.950928
96,-0.054767,-0.140319,9.825013,0.073423,0.105705,-0.012637,-0.01785,0.013464,0.006787,0.301025,0.506348,-0.950684
97,-0.050236,-0.104237,9.779151,0.038057,0.098801,0.033425,-0.020856,0.012288,0.0049,0.298828,0.508301,-0.950928
98,-0.078277,-0.126475,9.771876,0.067455,0.078035,0.040224,-0.018632,0.009631,0.004214,0.299072,0.501953,-0.943848
99,-0.071491,-0.121391,9.804692,0.060397,0.083318,0.007523,-0.020888,0.014772,0.005888,0.294678,0.50415,-0.946289
100,-0.098293,-0.089386,9.803558,0.037503,0.048227,0.00842,-0.018046,0.017037,0.001043,0.298828,0.508301,-0.948486
101,-0.074453,-0.125077,9.804623,0.064677,0.08173,0.007537,-0.018324,0.011373,0.007637,0.303223,0.502197,-0.946045
102,-0.067813,-0.119907,9.837448,0.057362,0.086763,-0.025176,-0.018862,0.015689,-0.000539,0.303223,0.502197,-0.943848
103,-0.063423,-0.083779,9.791636,0.021937,0.079888,0.020838,-0.019855,0.013989,0.002172,0.298828,0.506348,-0.950684
104,-0.091777,-0.106041,9.784315,0.051356,0.059171,0.027682,-0.020368,0.014381,0.004022,0.294922,0.501953,-0.950684
105,-0.085156,-0.100993,9.817147,0.044343,0.06444,-0.005037,-0.018999,0.012857,0.002752,0.299072,0.501953,-0.950684
106,-0.054285,-0.114369,9.811754,0.047827,0.097495,0.000718,-0.021184,0.013033,0.002439,0.299072,0.501953,-0.948486
107,-0.075742,-0.114109,9.797967,0.054014,0.076872,0.014214,-0.018854,0.015692,-0.000549,0.305176,0.5,-0.946045
108,-0.077171,-0.116094,9.797932,0.05606,0.07601,0.014219,-0.021696,0.013424,0.004286,0.294678,0.50415,-0.946289
109,-0.078638,-0.117906,9.797899,0.058324,0.075354,0.014227,-0.015332,0.016475,-0.000515,0.298828,0.508301,-0.953125
110,-0.070995,-0.128339,9.870044,0.065345,0.08634,-0.057853,-0.021321,0.010198,0.005725,0.301025,0.506348,-0.946289
111,-0.089034,-0.128627,9.764952,0.071809,0.067817,0.046982,-0.019507,0.013249,0.00459,0.298828,0.506348,-0.948486
112,-0.062302,-0.125884,9.811565,0.060649,0.092775,0.000743,-0.020323,0.011901,0.003009,0.301025,0.50415,-0.952881
113,-0.056672,-0.105359,9.805126,0.03941,0.091986,0.007342,-0.020356,0.014383,0.004,0.301025,0.50415,-0.946289
114,-0.064937,-0.129806,9.811497,0.064934,0.091213,0.000756,-0.018988,0.01286,0.002732,0.305176,0.506348,-0.950684
115,-0.047214,-0.118342,9.785952,0.049,0.104487,0.026587,-0.019839,0.013994,0.002144,0.296875,0.50415,-0.944092
116,-0.052756,-0.104408,9.837929,0.036489,0.095431,-0.025407,-0.023355,0.013213,0.002099,0.301025,0.501953,-0.946045
117,-0.068848,-0.13577,9.811389,0.071461,0.089003,0.000781,-0.016284,0.012295,0.001188,0.301025,0.506348,-0.953125
118,-0.03905,-0.133288,9.766743,0.060563,0.116101,0.045835,-0.019533,0.015731,0.005568,0.299072,0.501953,-0.946045
119,-0.044735,-0.119191,9.818728,0.048356,0.107273,-0.006161,-0.019833,0.013996,0.002134,0.298828,0.50415,-0.946289
120,-0.046092,-0.121113,9.818698,0.050385,0.106367,-0.006161,-0.019316,0.013607,0.000281,0.298828,0.50415,-0.950684
121,-0.043131,-0.138965,9.766647,0.067097,0.11389,0.045851,-0.018464,0.012473,0.000865,0.296875,0.50415,-0.948486
122,-0.043468,-0.156398,9.80588,0.083489,0.118951,0.006541,-0.017645,0.013819,0.002443,0.296875,0.50415,-0.948486
123,-0.050034,-0.126578,9.81861,0.056956,0.104105,-0.006149,-0.019828,0.013997,0.002125,0.300781,0.508301,-0.948486
124,-0.019191,-0.139965,9.813254,0.060366,0.137191,-0.000439,-0.020644,0.012651,0.000542,0.296875,0.5,-0.948242
125,-0.033465,-0.117276,9.793084,0.042966,0.116468,0.019631,-0.022673,0.011722,0.006948,0.294922,0.501953,-0.946045
126,-0.034777,-0.11929,9.793055,0.045035,0.115526,0.019629,-0.018491,0.014956,0.001849,0.301025,0.50415,-0.944092
127,-0.06745,-0.125499,9.837593,0.0603,0.086834,-0.02537,-0.020339,0.014386,0.003966,0.296875,0.506104,-0.948486
128,-0.057562,-0.120822,9.779194,0.053142,0.094012,0.033173,-0.018971,0.012863,0.0027,0.303223,0.502197,-0.948486
129,-0.043152,-0.109105,9.845011,0.037207,0.105091,-0.032392,-0.020003,0.013638,0.006399,0.301025,0.501953,-0.950684
130,-0.060153,-0.12471,9.77913,0.057449,0.092478,0.033183,-0.020635,0.012655,0.000527,0.301025,0.506348,-0.953125
131,-0.085888,-0.108491,9.817334,0.049214,0.063661,-0.005292,-0.019851,0.01648,0.003102,0.299072,0.5,-0.948242
132,-0.055146,-0.121811,9.811993,0.052676,0.096766,0.000402,-0.019333,0.01214,0.011266,0.296875,0.50415,-0.948486
133,-0.036495,-0.12608,9.825776,0.051117,0.116051,-0.013147,-0.020664,0.015137,0.001514,0.301025,0.50415,-0.952881
134,-0.069994,-0.116605,9.831048,0.051745,0.081085,-0.018831,-0.01863,0.012117,0.005124,0.299072,0.497803,-0.948242
135,-0.052114,-0.105103,9.80561,0.035712,0.09441,0.006895,-0.021145,0.013045,0.002364,0.301025,0.506348,-0.950684
136,-0.100329,-0.124969,9.78422,0.068945,0.053729,0.027545,-0.018961,0.012867,0.002682,0.303223,0.5,-0.948242
137,-0.062474,-0.115681,9.772611,0.049076,0.086999,0.039702,-0.01896,0.012867,0.00268,0.294678,0.508301,-0.946289
138,-0.050942,-0.142489,9.792674,0.070826,0.106125,0.019675,-0.02069,0.01762,0.002498,0.298828,0.50415,-0.952881
139,-0.089615,-0.101447,9.810786,0.042916,0.057249,0.001228,-0.01974,0.009045,9.6e-05,0.294922,0.495605,-0.946045
140,-0.086367,-0.119197,9.758684,0.059248,0.064565,0.053286,-0.01999,0.013639,0.006373,0.301025,0.501953,-0.952881
141,-0.040102,-0.118992,9.819266,0.044896,0.109617,-0.006667,-0.017986,0.017057,0.000964,0.299072,0.501953,-0.946045
142,-0.069251,-0.125211,9.772448,0.059761,0.082943,0.039727,-0.019438,0.010774,0.003522,0.298828,0.50415,-0.948486
143,-0.062633,-0.120394,9.805373,0.053025,0.088123,0.006915,-0.01947,0.013254,0.004516,0.301025,0.50415,-0.946289
144,-0.076978,-0.097419,9.785263,0.035286,0.067197,0.026931,-0.0198,0.014006,0.002076,0.301025,0.506348,-0.946289
145,-0.084508,-0.137756,9.830661,0.075673,0.072558,-0.018743,-0.019798,0.014007,0.002074,0.296875,0.506104,-0.948486
146,-0.059874,-0.103645,9.799044,0.035757,0.085553,0.013351,-0.01983,0.016486,0.003068,0.297119,0.497803,-0.950439
147,-0.061126,-0.105582,9.799016,0.038021,0.084898,0.013353,-0.01973,0.009049,7.6e-05,0.301025,0.506348,-0.946289
148,-0.061497,-0.123218,9.838176,0.054682,0.089901,-0.02589,-0.01628,0.014786,0.002127,0.301025,0.506348,-0.950684
149,-0.095886,-0.097704,9.804232,0.040938,0.049302,0.00771,-0.019606,0.014377,-0.002221,0.299072,0.497803,-0.950439
150,-0.052047,-0.136005,9.818989,0.064208,0.102438,-0.006638,-0.020796,0.012296,0.004763,0.290527,0.503906,-0.948486
151,-0.058508,-0.106364,9.831876,0.037745,0.087586,-0.019475,-0.018943,0.012871,0.002649,0.296875,0.501953,-0.950684
152,-0.048425,-0.101417,9.773551,0.030351,0.094812,0.038998,-0.020308,0.014392,0.003907,0.301025,0.50415,-0.950684
153,-0.049026,-0.119261,9.812695,0.047254,0.100052,-0.000231,-0.01927,0.013626,0.000207,0.296875,0.50415,-0.952881
154,-0.018164,-0.132533,9.807405,0.050713,0.13315,0.005405,-0.01894,0.012872,0.002642,0.301025,0.50415,-0.946289
155,-0.031778,-0.125365,9.826499,0.047825,0.118378,-0.013833,-0.018782,0.015722,-0.000649,0.301025,0.50415,-0.946289
156,-0.08533,-0.11357,9.817858,0.052192,0.063546,-0.005854,-0.021636,0.013435,0.004159,0.294922,0.497803,-0.950439
157,-0.02209,-0.138401,9.807316,0.057273,0.13096,0.005412,-0.019909,0.008681,0.004337,0.299072,0.5,-0.952881
158,-0.029169,-0.092718,9.78109,0.016,0.109946,0.031746,-0.017602,0.013831,0.002372,0.301025,0.50415,-0.94165
159,-0.055948,-0.146696,9.851661,0.074963,0.101198,-0.03942,-0.021114,0.013053,0.002304,0.305176,0.50415,-0.946289
160,-0.013621,-0.153035,9.788103,0.068819,0.142648,0.02466,-0.0176,0.013832,0.002368,0.301025,0.501953,-0.946045
161,-0.047174,-0.143492,9.793318,0.069679,0.107955,0.019048,-0.020297,0.014394,0.003886,0.301025,0.50415,-0.952881
162,-0.033,-0.13228,9.859286,0.054022,0.118639,-0.04668,-0.019936,0.01116,0.005322,0.303223,0.502197,-0.948486
163,-0.042888,-0.124704,9.787111,0.050416,0.106334,0.025396,-0.017141,0.018407,0.00251,0.302979,0.50415,-0.950684
164,-0.043632,-0.14251,9.82622,0.067203,0.111321,-0.013802,-0.019934,0.01116,0.005317,0.301025,0.50415,-0.946289
165,-0.037764,-0.122026,9.820058,0.045893,0.110594,-0.007471,-0.022631,0.011723,0.006833,0.298828,0.50415,-0.948486
166,-0.046835,-0.130646,9.787015,0.056754,0.103915,0.025404,-0.019284,0.016112,0.001177,0.296875,0.499756,-0.937012
167,-0.060512,-0.123562,9.806106,0.053906,0.089128,0.006169,-0.019443,0.013258,0.00446,0.299072,0.501953,-0.948486
