,acc_x,acc_y,acc_z,freeacc_x,freeacc_y,freeacc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
39,-0.048505,-0.095709,9.793104,0.074129,0.045644,0.019383,-0.022761,0.012982,0.010513,-0.137207,-0.115479,-1.465088
40,-0.069139,-0.076658,9.773713,0.047936,0.056196,0.038709,-0.016548,0.011615,0.005606,-0.136963,-0.117676,-1.460449
41,-0.051072,-0.113117,9.839902,0.077554,0.029022,-0.027649,-0.018623,0.011828,0.008928,-0.134766,-0.121826,-1.462646
42,-0.081631,-0.145469,9.805318,0.059698,-0.012403,0.00614,-0.018626,0.014963,0.011097,-0.134766,-0.121826,-1.467041
43,-0.083093,-0.147355,9.805278,0.058773,-0.014605,0.006137,-0.020002,0.014546,0.009211,-0.138916,-0.121826,-1.469238
44,-0.09431,-0.200707,9.790024,0.066526,-0.068756,0.02062,-0.017938,0.013604,0.010951,-0.13501,-0.115479,-1.462891
45,-0.081037,-0.197625,9.842394,0.077911,-0.060565,-0.03153,-0.019316,0.009811,0.008581,-0.13916,-0.115479,-1.460449
46,-0.07728,-0.225273,9.809285,0.090592,-0.085873,0.001306,-0.01656,0.014264,0.011145,-0.13916,-0.119629,-1.464844
47,-0.078764,-0.234103,9.832645,0.092086,-0.094225,-0.022177,-0.022766,0.012985,0.010498,-0.143066,-0.121826,-1.464844
48,-0.06055,-0.250096,9.82853,0.114634,-0.103011,-0.018003,-0.015872,0.012905,0.010999,-0.13501,-0.117432,-1.469482
49,-0.066813,-0.218994,9.838142,0.097934,-0.075931,-0.027338,-0.018615,0.015696,0.006024,-0.13916,-0.115479,-1.465088
50,-0.048539,-0.228001,9.810621,0.118024,-0.078535,0.000321,-0.018627,0.011831,0.008913,-0.13916,-0.119629,-1.462646
51,-0.044688,-0.248792,9.754077,0.127877,-0.097611,0.056662,-0.019311,0.013434,0.007368,-0.13916,-0.113281,-1.467285
52,-0.070585,-0.21761,9.81458,0.093335,-0.076301,-0.003819,-0.018619,0.01232,0.005536,-0.136963,-0.117676,-1.469482
53,-0.05224,-0.233505,9.810473,0.115501,-0.085056,0.000345,-0.017926,0.011206,0.003704,-0.136963,-0.119629,-1.467041
54,-0.019,-0.216874,9.765182,0.140554,-0.058755,0.046267,-0.019303,0.013924,0.003989,-0.136963,-0.117676,-1.462646
55,-0.02047,-0.232547,9.81195,0.144503,-0.073346,-0.000701,-0.017238,0.009847,0.003558,-0.136963,-0.121826,-1.467041
56,-0.007076,-0.215696,9.817546,0.151322,-0.052862,-0.005922,-0.01997,0.016264,-0.002619,-0.136963,-0.117676,-1.465088
57,-0.003654,-0.250267,9.807798,0.166103,-0.084315,0.003465,-0.016532,0.012601,-0.001164,-0.136963,-0.119629,-1.464844
58,0.009676,-0.233348,9.813405,0.172922,-0.063833,-0.001766,-0.019283,0.014906,-0.002765,-0.13916,-0.117676,-1.467285
59,0.022829,-0.223562,9.842419,0.181797,-0.04958,-0.030493,-0.019974,0.012888,-0.00311,-0.132813,-0.117432,-1.462646
60,0.007295,-0.223266,9.766519,0.166493,-0.055728,0.045192,-0.019284,0.014906,-0.002768,-0.132813,-0.121826,-1.464844
61,0.020278,-0.220283,9.818943,0.177849,-0.047712,-0.007021,-0.016527,0.012847,-0.002856,-0.13501,-0.117432,-1.469482
62,0.014202,-0.182397,9.805243,0.159099,-0.014396,0.007039,-0.021346,0.015853,-0.004515,-0.132813,-0.119629,-1.467041
63,0.013076,-0.177307,9.781815,0.155723,-0.010306,0.030501,-0.017219,0.010829,-0.003202,-0.136963,-0.117676,-1.469482
64,-0.008095,-0.185817,9.856026,0.139295,-0.024661,-0.044078,-0.016547,0.012108,0.002202,-0.134766,-0.121826,-1.460449
65,-0.013813,-0.133887,9.795566,0.115316,0.021187,0.016898,-0.019968,0.016513,-0.004319,-0.136963,-0.117676,-1.465088
66,-0.034852,-0.128712,9.822987,0.094024,0.019334,-0.010736,-0.019307,0.01079,0.001798,-0.134766,-0.121826,-1.464844
67,-0.035661,-0.116579,9.77618,0.088213,0.029697,0.03619,-0.018604,0.013302,-0.001233,-0.132813,-0.119629,-1.462646
68,-0.061417,-0.078585,9.813369,0.051187,0.057086,-0.000889,-0.019301,0.011037,0.000108,-0.132813,-0.117432,-1.465088
69,-0.02828,-0.068794,9.791613,0.078372,0.077266,0.02141,-0.017218,0.014209,-0.002721,-0.132813,-0.121826,-1.467041
70,-0.044472,-0.096394,9.809262,0.072803,0.04615,0.00323,-0.022059,0.013097,0.00019,-0.13916,-0.119629,-1.460449
71,-0.031118,-0.079826,9.81496,0.079245,0.066606,-0.0021,-0.020687,0.013508,0.002077,-0.13501,-0.117432,-1.469482
72,-0.017763,-0.062989,9.820671,0.086072,0.08707,-0.007438,-0.016523,0.013099,-0.004555,-0.137207,-0.115479,-1.465088
73,0.000371,-0.085859,9.839977,0.110637,0.072017,-0.026778,-0.019303,0.011038,0.000101,-0.13501,-0.117432,-1.460449
74,0.004259,-0.113442,9.806779,0.123374,0.046901,0.006139,-0.018614,0.013056,0.000445,-0.136963,-0.117676,-1.458252
75,0.037413,-0.103727,9.785064,0.15054,0.067092,0.02839,-0.02,0.012149,0.001928,-0.13916,-0.117676,-1.462646
76,0.055433,-0.126773,9.804363,0.175503,0.052,0.009057,-0.019311,0.014167,0.002273,-0.13501,-0.115479,-1.469482
77,0.039613,-0.140283,9.775214,0.164696,0.033522,0.037832,-0.019319,0.013919,0.003959,-0.13501,-0.115479,-1.465088
78,0.052507,-0.13751,9.827703,0.176328,0.041322,-0.01445,-0.017259,0.01297,0.005704,-0.134766,-0.121826,-1.462646
79,0.036207,-0.172168,9.86866,0.172745,0.003827,-0.056028,-0.021389,0.011243,0.003405,-0.136963,-0.117676,-1.462646
80,0.08955,-0.155404,9.772795,0.216257,0.036447,0.040707,-0.017949,0.014329,0.005845,-0.132813,-0.123779,-1.464844
81,0.05385,-0.168824,9.794431,0.187141,0.011865,0.018448,-0.018655,0.011813,0.008871,-0.133057,-0.113281,-1.462891
82,0.06216,-0.126373,9.833405,0.180635,0.055189,-0.019912,-0.019337,0.013422,0.007326,-0.13501,-0.115479,-1.469482
83,0.051622,-0.165384,9.771014,0.183185,0.013907,0.041864,-0.016588,0.011113,0.008929,-0.13916,-0.119629,-1.464844
84,0.064601,-0.162478,9.823519,0.194793,0.021635,-0.010433,-0.015898,0.01313,0.009275,-0.132813,-0.117432,-1.462646
85,0.009735,-0.154779,9.825823,0.140112,0.009999,-0.013356,-0.021424,0.010248,0.010142,-0.136963,-0.121826,-1.460449
86,0.028261,-0.163656,9.798368,0.160283,0.007594,0.014226,-0.016579,0.01474,0.00773,-0.137207,-0.115479,-1.469482
87,0.011887,-0.191173,9.815894,0.154251,-0.023598,-0.003835,-0.020027,0.014783,0.007462,-0.137207,-0.115479,-1.460449
88,0.005911,-0.153358,9.802375,0.13556,0.009815,0.010053,-0.020709,0.013017,0.005425,-0.13916,-0.119629,-1.460449
89,-0.025024,-0.199611,9.814061,0.122097,-0.044006,-0.002578,-0.017951,0.014332,0.005834,-0.132813,-0.117432,-1.467285
90,-0.026168,-0.19434,9.790663,0.119137,-0.039796,0.020867,-0.019312,0.014176,0.002254,-0.132813,-0.121826,-1.460449
91,-0.042679,-0.229032,9.831502,0.115513,-0.077394,-0.020592,-0.018633,0.012566,0.003796,-0.13916,-0.119629,-1.462646
92,-0.04371,-0.223788,9.808098,0.112555,-0.073178,0.002858,-0.019332,0.013675,0.005624,-0.13916,-0.119629,-1.467041
93,-0.049796,-0.192897,9.817957,0.0958,-0.046174,-0.006715,-0.017944,0.011207,0.00365,-0.132813,-0.121826,-1.464844
94,-0.060371,-0.239015,9.778801,0.101159,-0.093764,0.031752,-0.020704,0.009893,0.003236,-0.133057,-0.115479,-1.467285
95,-0.066466,-0.20829,9.788663,0.084467,-0.06672,0.022175,-0.020012,0.015286,0.004078,-0.136963,-0.115479,-1.47168
96,-0.088113,-0.2175,9.862726,0.067834,-0.081587,-0.052259,-0.019315,0.010802,0.001753,-0.136963,-0.121826,-1.464844
97,-0.107957,-0.183819,9.796696,0.036589,-0.057893,0.013911,-0.017266,0.012973,0.005682,-0.134766,-0.119629,-1.469482
98,-0.10926,-0.185505,9.79665,0.036005,-0.060071,0.013922,-0.017246,0.013477,0.002308,-0.13501,-0.117432,-1.467285
99,-0.08153,-0.157167,9.831698,0.052202,-0.023459,-0.020438,-0.018615,0.013072,0.000414,-0.130859,-0.117432,-1.462646
100,-0.062696,-0.158801,9.780905,0.070048,-0.01934,0.030562,-0.018626,0.01282,0.002098,-0.13501,-0.113281,-1.469482
101,-0.103378,-0.139624,9.812338,0.025141,-0.014737,-0.001146,-0.019295,0.014684,-0.001132,-0.133057,-0.113281,-1.462891
102,-0.070626,-0.136994,9.814124,0.055115,-0.000903,-0.002492,-0.019306,0.014432,0.000553,-0.141357,-0.115479,-1.465088
103,-0.037358,-0.127109,9.792582,0.082297,0.019433,0.019574,-0.017239,0.010354,0.000121,-0.13501,-0.113281,-1.467285
104,-0.038639,-0.128932,9.792553,0.081716,0.017255,0.019565,-0.019996,0.015792,0.000694,-0.13916,-0.117676,-1.467285
105,-0.006407,-0.140663,9.84104,0.115939,0.018174,-0.02866,-0.019297,0.011309,-0.001633,-0.13916,-0.113281,-1.465088
106,0.031741,-0.16353,9.809546,0.159296,0.009286,0.003025,-0.018607,0.013326,-0.001282,-0.13916,-0.119629,-1.460449
107,0.030436,-0.165355,9.80952,0.158257,0.007109,0.003006,-0.018608,0.013326,-0.001283,-0.133057,-0.115479,-1.467285
108,0.029109,-0.167113,9.809494,0.157674,0.004925,0.002995,-0.01724,0.01373,0.000611,-0.137207,-0.113281,-1.469482
109,0.081462,-0.178535,9.807266,0.210365,0.012211,0.005722,-0.020689,0.013776,0.000334,-0.136963,-0.117676,-1.462646
110,0.060318,-0.1734,9.834639,0.188974,0.010114,-0.021845,-0.015194,0.012521,0.004047,-0.136963,-0.119629,-1.460449
111,0.059645,-0.160886,9.787957,0.183301,0.020922,0.024965,-0.022758,0.014479,0.000265,-0.136963,-0.121826,-1.462646
112,0.087205,-0.13277,9.823154,0.19989,0.057409,-0.00955,-0.015861,0.014388,0.000816,-0.13916,-0.115479,-1.460449
113,0.070889,-0.160266,9.840517,0.193774,0.026102,-0.027448,-0.018644,0.012566,0.003767,-0.137207,-0.115479,-1.469482
114,0.050701,-0.13358,9.797913,0.165396,0.043538,0.015226,-0.017955,0.014583,0.004119,-0.138916,-0.121826,-1.467041
115,0.044437,-0.102733,9.807922,0.14864,0.070521,0.005507,-0.019347,0.013672,0.005593,-0.13916,-0.117676,-1.462646
116,0.062347,-0.125789,9.827166,0.173523,0.05522,-0.013794,-0.016564,0.012119,0.002144,-0.13916,-0.117676,-1.467285
117,0.041517,-0.113407,9.831217,0.149331,0.059612,-0.017956,-0.017968,0.014329,0.005801,-0.137207,-0.115479,-1.467285
118,0.006698,-0.10521,9.78265,0.113551,0.054513,0.03028,-0.017279,0.012969,0.005656,-0.141357,-0.115479,-1.465088
119,0.005019,-0.114395,9.805947,0.114808,0.045808,0.006851,-0.022785,0.013974,0.003623,-0.137207,-0.115479,-1.467285
120,-0.011027,-0.13498,9.799935,0.106805,0.021048,0.012422,-0.01797,0.014329,0.005797,-0.136963,-0.121826,-1.462646
121,-0.017541,-0.111239,9.833284,0.092375,0.041461,-0.02072,-0.016591,0.01161,0.005509,-0.128662,-0.117432,-1.469482
122,-0.008649,-0.171167,9.789817,0.120926,-0.012483,0.022125,-0.02073,0.013017,0.005371,-0.136963,-0.117676,-1.467285
123,-0.029489,-0.159045,9.793847,0.096802,-0.008052,0.017987,-0.019351,0.013673,0.005582,-0.13501,-0.115479,-1.460449
124,-0.031211,-0.168186,9.817122,0.098524,-0.016805,-0.005416,-0.019351,0.013674,0.00558,-0.13501,-0.117432,-1.465088
125,-0.052098,-0.155999,9.82115,0.074376,-0.012385,-0.00955,-0.019338,0.01393,0.003893,-0.136963,-0.119629,-1.47168
126,-0.067231,-0.161994,9.768475,0.061769,-0.02397,0.042863,-0.020069,0.011146,0.008592,-0.133057,-0.115479,-1.47168
127,-0.034968,-0.173914,9.81701,0.095919,-0.02332,-0.005429,-0.018676,0.012058,0.007118,-0.130859,-0.119629,-1.460449
128,-0.065521,-0.212988,9.804904,0.080487,-0.070635,0.005836,-0.020732,0.013019,0.005362,-0.134766,-0.119629,-1.469482
129,-0.052229,-0.196313,9.810893,0.086943,-0.050257,0.000206,-0.017959,0.014587,0.004101,-0.13501,-0.119629,-1.462646
130,-0.073246,-0.184021,9.814914,0.063214,-0.045856,-0.003914,-0.018663,0.015691,0.005929,-0.13501,-0.117432,-1.467285
131,-0.040488,-0.181471,9.816852,0.092782,-0.032062,-0.005434,-0.020734,0.01302,0.005356,-0.132813,-0.117432,-1.469482
132,-0.076018,-0.187846,9.814821,0.061628,-0.050223,-0.003903,-0.017974,0.014331,0.005782,-0.132813,-0.117432,-1.460449
133,-0.014433,-0.155396,9.85219,0.108354,0.002087,-0.040143,-0.019987,0.016065,-0.00103,-0.133057,-0.115479,-1.462891
134,-0.044159,-0.179836,9.793432,0.088351,-0.031967,0.017956,-0.018667,0.008941,0.004921,-0.137207,-0.115479,-1.467285
135,-0.045743,-0.188923,9.816688,0.089615,-0.040743,-0.005432,-0.017947,0.014846,0.002409,-0.132813,-0.117432,-1.462646
136,0.007063,-0.193165,9.791297,0.140469,-0.026903,0.020527,-0.021383,0.011778,-6.5e-05,-0.132813,-0.119629,-1.462646
137,0.000603,-0.169688,9.824702,0.126057,-0.006585,-0.012669,-0.016569,0.012127,0.002119,-0.134766,-0.121826,-1.462646
138,0.00451,-0.196813,9.791226,0.138917,-0.031258,0.020518,-0.019988,0.016067,-0.001036,-0.137207,-0.113281,-1.462891
139,0.036452,-0.208929,9.839792,0.173019,-0.030773,-0.027821,-0.020019,0.012176,0.00183,-0.13501,-0.115479,-1.460449
140,0.016956,-0.174792,9.773961,0.142476,-0.006409,0.03819,-0.01861,0.013349,-0.001326,-0.136963,-0.119629,-1.462646
141,0.069341,-0.186326,9.7719,0.195185,0.000798,0.040714,-0.02071,0.013536,0.001971,-0.13501,-0.115479,-1.465088
