,acc_x,acc_y,acc_z,freeacc_x,freeacc_y,freeacc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,1.973897,2.282655,9.483548,0.072902,0.207744,-0.136984,0.046913,-0.180001,-0.050828,0.150146,-0.638428,-1.2146
1,2.151559,2.252615,9.538755,-0.068931,0.273345,-0.217858,0.050542,-0.133615,-0.029482,0.147949,-0.63623,-1.212158
2,2.203614,2.235369,9.42341,-0.133587,0.273409,-0.115094,0.051362,-0.069198,-0.019048,0.141602,-0.642822,-1.216553
3,2.142706,2.350219,9.517362,-0.052964,0.180779,-0.220229,0.053882,-0.036418,0.003724,0.143799,-0.640625,-1.216553
4,1.99824,2.382014,9.426944,0.06961,0.115674,-0.112835,0.042476,-0.025735,0.013881,0.141602,-0.636475,-1.20752
5,1.781323,2.362654,9.352216,0.267937,0.093816,0.007659,0.030179,-0.005077,-0.007637,0.143799,-0.638428,-1.214355
6,1.658386,2.39342,9.458176,0.411717,0.07611,-0.074703,0.024068,-0.009804,-0.008793,0.143799,-0.638428,-1.212158
7,1.77053,2.399327,9.355062,0.282352,0.060552,-0.00186,0.021859,-0.032295,-0.012179,0.143799,-0.634277,-1.214355
8,1.904801,2.377413,9.371157,0.162423,0.102317,-0.039322,0.023176,-0.057131,-0.009624,0.137451,-0.640869,-1.211914
9,2.023354,2.358656,9.315681,0.043241,0.122274,-0.006799,0.024656,-0.066858,-0.008169,0.139404,-0.636475,-1.214111
10,2.08761,2.365115,9.324686,-0.010298,0.127189,-0.030349,0.030919,-0.056239,-0.005139,0.141602,-0.642822,-1.216553
11,2.193351,2.431813,9.300709,-0.116549,0.071118,-0.046778,0.030129,-0.032708,0.001288,0.137451,-0.640869,-1.211914
12,2.225871,2.447988,9.292646,-0.147905,0.058981,-0.050124,0.024485,-0.000453,0.005199,0.137451,-0.634521,-1.211914
13,2.139144,2.378312,9.285276,-0.060499,0.115278,-0.007278,0.022941,0.028668,0.003097,0.139404,-0.638672,-1.214111
14,1.982298,2.443356,9.325801,0.095272,0.044917,-0.029008,0.02344,0.03805,-0.0065,0.137451,-0.640869,-1.209717
15,1.998765,2.382953,9.293409,0.073521,0.098608,0.01341,0.015998,0.039713,-0.004227,0.141602,-0.638672,-1.220947
16,2.031032,2.314412,9.231729,0.029295,0.155432,0.082251,0.021463,0.04718,-0.00406,0.137451,-0.640869,-1.214111
17,1.952225,2.403631,9.32943,0.120346,0.083678,-0.016117,0.016818,0.042405,-0.004056,0.139648,-0.642822,-1.216309
18,1.905317,2.345414,9.362989,0.174704,0.143325,-0.023251,0.020411,0.039124,-0.003467,0.143799,-0.638428,-1.214355
19,1.878578,2.351402,9.268375,0.176491,0.113519,0.070157,0.024439,0.036943,-0.004123,0.139404,-0.638672,-1.211914
20,1.849544,2.416891,9.2773,0.20099,0.05043,0.051154,0.020667,0.025138,-0.003605,0.143799,-0.642578,-1.214355
21,1.827392,2.481026,9.309773,0.225885,-0.005862,0.008827,0.016828,0.014277,0.002269,0.139648,-0.640869,-1.216309
22,1.780883,2.44732,9.294018,0.269929,0.018368,0.041992,0.022091,0.007118,0.006235,0.141602,-0.640625,-1.214355
23,1.697593,2.556714,9.217536,0.328769,-0.114557,0.10391,0.014506,-0.023809,-0.002623,0.141602,-0.642822,-1.211914
24,1.7128,2.55616,9.263904,0.329793,-0.101294,0.057251,0.013337,-0.056684,-0.000557,0.141602,-0.636475,-1.220947
25,1.900417,2.484032,9.240571,0.154629,-0.015899,0.058407,0.004712,-0.070415,0.016027,0.139404,-0.638672,-1.214111
26,1.999147,2.345615,9.286693,0.086856,0.138744,0.029316,0.003622,-0.077991,0.019297,0.137451,-0.642822,-1.218506
27,2.100078,2.30836,9.285914,7.3e-05,0.184388,0.018145,-0.001358,-0.067813,0.024777,0.131104,-0.643066,-1.216064
28,2.145873,2.344179,9.276319,-0.041706,0.151129,0.008328,0.001917,-0.046931,0.027835,0.131104,-0.638916,-1.220703
29,2.068452,2.378749,9.322163,0.048196,0.117147,-0.027212,-0.001045,-0.037142,0.025204,0.135254,-0.636719,-1.211914
30,2.104431,2.314164,9.336079,0.02597,0.185456,-0.031666,0.005941,-0.039887,0.024161,0.135254,-0.640869,-1.220703
31,2.213348,2.323484,9.309562,-0.081594,0.181774,-0.032399,0.005307,-0.018268,0.019864,0.131104,-0.638916,-1.218506
32,2.262767,2.334987,9.373113,-0.112955,0.190935,-0.105897,0.016749,0.006469,0.013263,0.133301,-0.640869,-1.218506
33,2.214473,2.379164,9.335978,-0.077611,0.134422,-0.071679,0.023069,0.035492,0.010274,0.128906,-0.641113,-1.216064
34,2.091938,2.368645,9.214138,0.010563,0.103255,0.072244,0.027316,0.047916,0.005817,0.135254,-0.638916,-1.214111
35,2.055147,2.387091,9.273486,0.056313,0.096234,0.019479,0.023084,0.053934,0.00425,0.128906,-0.641113,-1.216064
36,1.964885,2.40061,9.345808,0.15621,0.090654,-0.03288,0.018449,0.058377,0.001254,0.131104,-0.641113,-1.213867
37,1.860862,2.279518,9.265212,0.242309,0.177831,0.096061,0.029249,0.048052,0.00035,0.139648,-0.64502,-1.21875
38,1.862977,2.364936,9.36752,0.256423,0.121814,-0.022629,0.033163,0.039041,-0.00754,0.133057,-0.636719,-1.213867
39,1.877902,2.413429,9.364643,0.237163,0.07827,-0.035425,0.032499,0.023338,-0.002487,0.128906,-0.643066,-1.218262
40,1.827696,2.406066,9.300029,0.2707,0.067172,0.03811,0.042712,0.015247,-0.007022,0.135254,-0.642822,-1.211914
41,1.866645,2.446887,9.290642,0.229343,0.033622,0.028316,0.050854,0.000224,-0.013333,0.133301,-0.64502,-1.21167
42,1.991744,2.511605,9.361673,0.122678,0.006347,-0.081808,0.044073,-0.01053,-0.009741,0.137451,-0.640869,-1.220947
43,1.976731,2.410715,9.259794,0.121642,0.081282,0.043276,0.046774,0.00291,-0.010023,0.137451,-0.642822,-1.216309
44,1.920858,2.435219,9.222583,0.166814,0.046163,0.084067,0.052219,0.001177,-0.006859,0.133301,-0.638916,-1.216309
45,2.00031,2.464446,9.27832,0.103515,0.043818,0.007111,0.042483,-0.009017,-0.002879,0.137451,-0.646973,-1.216309
46,2.101744,2.400456,9.250211,0.004687,0.113925,0.028367,0.040349,-0.005769,-0.002335,0.131104,-0.638916,-1.21167
47,2.110719,2.426901,9.247807,-0.004172,0.091541,0.021951,0.04211,0.006443,0.00522,0.135498,-0.64917,-1.216309
48,2.069207,2.472122,9.233211,0.030599,0.042354,0.032991,0.037957,0.011479,-0.001708,0.12915,-0.645264,-1.216064
49,1.957378,2.389255,9.256722,0.150544,0.116696,0.056126,0.03167,0.01054,-0.005051,0.135254,-0.643066,-1.216309
50,1.991325,2.429273,9.223746,0.108652,0.076391,0.069659,0.031646,-0.007878,0.001022,0.133301,-0.640869,-1.216309
51,2.103557,2.44011,9.221143,0.00113,0.079968,0.045284,0.022802,-0.006678,-0.00052,0.131104,-0.64502,-1.21167
52,2.144032,2.400402,9.234579,-0.031382,0.127151,0.034186,0.017824,0.013188,0.004574,0.133301,-0.643066,-1.213867
53,2.03103,2.39331,9.236372,0.079263,0.12104,0.058578,0.012437,0.022264,0.011284,0.135254,-0.640869,-1.209473
54,2.047203,2.439175,9.233709,0.059507,0.077774,0.045783,0.004622,0.022328,0.012142,0.131348,-0.651367,-1.209473
55,2.034249,2.440122,9.186756,0.060893,0.062445,0.092541,-0.008435,0.018931,0.027655,0.133301,-0.647217,-1.216309
56,2.009377,2.477871,9.244716,0.095886,0.03432,0.033534,-0.011858,0.0281,0.02891,0.133301,-0.647217,-1.216309
57,1.945863,2.448658,9.259756,0.16247,0.055247,0.040485,-0.019884,0.022774,0.030573,0.12915,-0.645264,-1.216064
58,1.993765,2.421303,9.172539,0.097088,0.063217,0.119398,-0.019674,0.009265,0.03317,0.133301,-0.643066,-1.216309
59,2.037447,2.436425,9.314092,0.088822,0.082977,-0.027277,-0.025844,0.005488,0.037398,0.128906,-0.638916,-1.218262
60,2.014919,2.44239,9.32066,0.11202,0.071904,-0.030186,-0.025457,0.025996,0.035405,0.135498,-0.64502,-1.216309
61,1.906347,2.424759,9.246608,0.200242,0.054696,0.067417,-0.021235,0.029218,0.033943,0.128906,-0.643066,-1.218262
62,1.929718,2.388809,9.290721,0.189975,0.09884,0.029955,-0.019388,0.011853,0.039911,0.133301,-0.64502,-1.218506
63,2.008342,2.410672,9.348648,0.12688,0.096442,-0.04716,-0.021393,0.021486,0.044982,0.126953,-0.643311,-1.211426
64,2.083411,2.373482,9.279636,0.039514,0.121543,0.011191,-0.009973,0.027346,0.041695,0.135254,-0.640869,-1.214111
65,2.017683,2.452723,9.323839,0.108571,0.044867,-0.036529,-0.009686,0.03178,0.03554,0.128906,-0.638916,-1.213867
66,2.028518,2.419306,9.320501,0.098094,0.074982,-0.027253,-0.010134,0.030694,0.036784,0.131104,-0.638916,-1.213867
67,2.001993,2.36783,9.199774,0.097846,0.090997,0.10534,-0.002051,0.025821,0.032823,0.133301,-0.643066,-1.216309
68,2.066774,2.423098,9.261781,0.045957,0.057647,0.018908,-0.004307,0.022697,0.02883,0.131104,-0.641113,-1.213867
69,2.097989,2.411049,9.304435,0.025757,0.080434,-0.024999,-0.00897,0.037334,0.02812,0.128906,-0.638916,-1.216064
70,1.971668,2.326387,9.281581,0.145074,0.140819,0.045066,0.004695,0.056026,0.028465,0.133301,-0.643066,-1.2229
71,1.879709,2.36322,9.304684,0.234893,0.099314,0.033617,0.010391,0.049491,0.028527,0.126953,-0.63916,-1.216064
72,2.026678,2.437185,9.347476,0.095953,0.053867,-0.056988,0.006106,0.037074,0.033007,0.135254,-0.638916,-1.220703
73,2.024774,2.329209,9.31891,0.095109,0.150212,-0.002372,0.007922,0.058068,0.034822,0.128906,-0.636963,-1.218262
74,1.941266,2.305589,9.26227,0.160808,0.150304,0.074851,0.021208,0.055749,0.034493,0.131104,-0.641113,-1.220703
75,1.97662,2.378973,9.406609,0.154053,0.117493,-0.087479,0.023774,0.043882,0.033075,0.139404,-0.638672,-1.216309
76,2.069374,2.282931,9.305396,0.043281,0.19815,0.012517,0.032478,0.053379,0.03959,0.133301,-0.638916,-1.218506
77,1.973794,2.299323,9.352686,0.14374,0.184685,-0.015879,0.046469,0.057071,0.034535,0.135254,-0.636719,-1.214111
78,2.006169,2.393626,9.347119,0.103024,0.099138,-0.041365,0.052596,0.05163,0.033358,0.135254,-0.643066,-1.220703
79,2.027373,2.334267,9.338805,0.081442,0.160262,-0.022962,0.052843,0.056571,0.029855,0.133301,-0.640869,-1.209473
80,1.910741,2.325766,9.238865,0.168767,0.136343,0.098282,0.066215,0.06067,0.034045,0.135498,-0.64502,-1.216309
81,1.879872,2.425282,9.297807,0.205475,0.055411,0.023926,0.066608,0.035417,0.026399,0.12915,-0.647217,-1.21167
82,2.000104,2.436304,9.3438,0.098031,0.073316,-0.047719,0.057552,0.031253,0.025631,0.135498,-0.64502,-1.220703
83,2.06471,2.376967,9.174906,-0.001356,0.101873,0.113125,0.063381,0.040362,0.027152,0.135498,-0.64502,-1.211914
84,2.00664,2.486293,9.215311,0.056764,0.004051,0.059382,0.060178,0.047594,0.017684,0.133301,-0.64502,-1.216309
85,1.995493,2.522077,9.242603,0.070116,-0.021455,0.02682,0.047614,0.046219,0.013625,0.133301,-0.65332,-1.209473
86,1.995326,2.471734,9.239826,0.070146,0.029791,0.042356,0.047322,0.041325,0.017112,0.133301,-0.64502,-1.213867
87,2.004431,2.443885,9.235651,0.060146,0.059754,0.051521,0.04404,0.042112,0.003152,0.137451,-0.64502,-1.211914
88,2.037176,2.543886,9.330299,0.042287,-0.008112,-0.070332,0.027244,0.047254,0.000128,0.12915,-0.647217,-1.204834
89,2.048423,2.376051,9.24679,0.017888,0.136906,0.049198,0.029789,0.054838,-0.002075,0.135498,-0.64917,-1.214111
90,1.98105,2.346164,9.160178,0.061147,0.1402,0.152744,0.036644,0.055384,-0.00797,0.135498,-0.646973,-1.214111
91,1.994487,2.484703,9.335633,0.078054,0.051608,-0.051238,0.015255,0.045957,-0.010528,0.133301,-0.647217,-1.209473
92,2.012797,2.369146,9.3025,0.054761,0.158363,0.005923,0.021348,0.059996,-0.012528,0.137451,-0.642822,-1.209717
93,1.910498,2.372928,9.124735,0.109036,0.102566,0.193999,0.023355,0.060057,-0.017964,0.133301,-0.647217,-1.205078
94,1.954354,2.523799,9.293764,0.093029,0.003057,-0.013524,0.001836,0.044681,-0.022345,0.141846,-0.646973,-1.216553
95,1.952753,2.469523,9.292487,0.093534,0.054138,0.001958,-0.006207,0.056061,-0.013999,0.141846,-0.644775,-1.211914
96,1.896541,2.427988,9.153811,0.114168,0.053736,0.155134,-0.009041,0.055631,-0.01898,0.137451,-0.64917,-1.209717
97,1.908205,2.502644,9.203553,0.10681,-0.007133,0.086517,-0.021122,0.036298,-0.020764,0.137451,-0.646973,-1.211914
98,1.947601,2.488652,9.294975,0.08692,0.029551,-0.004373,-0.029761,0.040645,-0.012984,0.137451,-0.64917,-1.205078
99,1.896134,2.474923,9.231699,0.120254,0.018537,0.069483,-0.028569,0.044959,-0.011429,0.139648,-0.640869,-1.21875
100,1.82477,2.446096,9.222607,0.186196,0.032482,0.100122,-0.039816,0.028318,-0.01307,0.141602,-0.642822,-1.211914
101,1.882349,2.421427,9.285225,0.144479,0.072206,0.035374,-0.051515,0.017532,-0.006322,0.133301,-0.640869,-1.213867
102,1.93027,2.397459,9.300178,0.101811,0.098264,0.017432,-0.051245,0.010388,0.000845,0.141602,-0.642822,-1.214355
103,1.897176,2.40321,9.259108,0.124885,0.073062,0.061542,-0.055924,-0.000868,-0.003608,0.139648,-0.640625,-1.214111
104,1.95457,2.34766,9.246091,0.070401,0.123478,0.076063,-0.057163,-0.014421,-0.002086,0.139404,-0.636719,-1.216309
105,2.023044,2.374443,9.358316,0.030362,0.124619,-0.050999,-0.058586,-0.017195,0.004325,0.139404,-0.638672,-1.21875
106,1.925187,2.329783,9.355311,0.128853,0.149496,-0.016714,-0.056922,-0.002518,0.001543,0.137451,-0.64502,-1.216309
107,1.879626,2.289627,9.340584,0.173195,0.173407,0.016677,-0.049805,0.000638,0.002412,0.137451,-0.640869,-1.216309
108,1.920396,2.321063,9.33375,0.131315,0.140202,0.006707,-0.04323,-0.006074,0.010286,0.137451,-0.642822,-1.218506
109,1.946281,2.337083,9.404775,0.123302,0.138472,-0.069892,-0.041035,-0.002906,0.014264,0.135254,-0.636719,-1.216309
110,1.934172,2.281263,9.331586,0.122531,0.169057,0.015745,-0.032847,0.005538,0.022043,0.139648,-0.640869,-1.21875
111,1.910698,2.311753,9.288643,0.135043,0.122769,0.053561,-0.021687,0.006463,0.02232,0.141602,-0.642822,-1.21875
112,1.946453,2.327755,9.407053,0.127242,0.134894,-0.069892,-0.021762,0.006968,0.024981,0.143799,-0.638672,-1.223389
113,1.90289,2.338158,9.317633,0.149624,0.095968,0.021127,-0.012501,0.013765,0.03251,0.139404,-0.634521,-1.214111
114,1.932465,2.3739,9.262717,0.107092,0.049031,0.058002,-0.013019,0.006237,0.029263,0.139404,-0.638672,-1.225342
