NO_OF_FRAMES	9217
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-16, 10:54:23.294	2216.09629770
DATA_INCLUDED	3D
MARKER_NAMES	marker1		
Frame	Time	marker1 X	marker1 Y	marker1 Z	 X	 Y	 Z	 X	 Y	 Z	
70	0.46000	963.543	291.072	85.772	0.000	0.000	0.000	0.000	0.000	0.000
71	0.46667	963.508	291.060	85.770	0.000	0.000	0.000	0.000	0.000	0.000
72	0.47333	963.510	291.057	85.760	0.000	0.000	0.000	0.000	0.000	0.000
73	0.48000	963.503	291.067	85.749	0.000	0.000	0.000	0.000	0.000	0.000
74	0.48667	963.465	291.013	85.706	0.000	0.000	0.000	0.000	0.000	0.000
75	0.49333	963.493	290.998	85.710	0.000	0.000	0.000	0.000	0.000	0.000
76	0.50000	963.487	290.943	85.672	0.000	0.000	0.000	0.000	0.000	0.000
77	0.50667	963.471	290.876	85.633	0.000	0.000	0.000	0.000	0.000	0.000
78	0.51333	963.463	290.864	85.661	0.000	0.000	0.000	0.000	0.000	0.000
79	0.52000	963.464	290.843	85.653	0.000	0.000	0.000	0.000	0.000	0.000
80	0.52667	963.485	290.826	85.622	0.000	0.000	0.000	0.000	0.000	0.000
81	0.53333	963.478	290.785	85.585	0.000	0.000	0.000	0.000	0.000	0.000
82	0.54000	963.470	290.756	85.567	0.000	0.000	0.000	0.000	0.000	0.000
83	0.54667	963.454	290.745	85.509	0.000	0.000	0.000	0.000	0.000	0.000
84	0.55333	963.448	290.697	85.472	0.000	0.000	0.000	0.000	0.000	0.000
85	0.56000	963.465	290.668	85.464	0.000	0.000	0.000	0.000	0.000	0.000
86	0.56667	963.446	290.657	85.426	0.000	0.000	0.000	0.000	0.000	0.000
87	0.57333	963.447	290.637	85.406	0.000	0.000	0.000	0.000	0.000	0.000
88	0.58000	963.474	290.617	85.394	0.000	0.000	0.000	0.000	0.000	0.000
89	0.58667	963.472	290.613	85.377	0.000	0.000	0.000	0.000	0.000	0.000
90	0.59333	963.478	290.622	85.373	0.000	0.000	0.000	0.000	0.000	0.000
91	0.60000	963.477	290.571	85.369	0.000	0.000	0.000	0.000	0.000	0.000
92	0.60667	963.470	290.585	85.342	0.000	0.000	0.000	0.000	0.000	0.000
93	0.61333	963.473	290.599	85.318	0.000	0.000	0.000	0.000	0.000	0.000
94	0.62000	963.474	290.592	85.297	0.000	0.000	0.000	0.000	0.000	0.000
95	0.62667	963.480	290.617	85.284	0.000	0.000	0.000	0.000	0.000	0.000
96	0.63333	963.498	290.599	85.289	0.000	0.000	0.000	0.000	0.000	0.000
97	0.64000	963.497	290.633	85.255	0.000	0.000	0.000	0.000	0.000	0.000
98	0.64667	963.528	290.622	85.259	0.000	0.000	0.000	0.000	0.000	0.000
99	0.65333	963.533	290.623	85.269	0.000	0.000	0.000	0.000	0.000	0.000
100	0.66000	963.561	290.612	85.263	0.000	0.000	0.000	0.000	0.000	0.000
101	0.66667	963.568	290.599	85.231	0.000	0.000	0.000	0.000	0.000	0.000
102	0.67333	963.570	290.583	85.237	0.000	0.000	0.000	0.000	0.000	0.000
103	0.68000	963.581	290.567	85.221	0.000	0.000	0.000	0.000	0.000	0.000
104	0.68667	963.599	290.583	85.219	0.000	0.000	0.000	0.000	0.000	0.000
105	0.69333	963.622	290.551	85.206	0.000	0.000	0.000	0.000	0.000	0.000
106	0.70000	963.648	290.572	85.216	0.000	0.000	0.000	0.000	0.000	0.000
107	0.70667	963.654	290.544	85.210	0.000	0.000	0.000	0.000	0.000	0.000
108	0.71333	963.677	290.506	85.179	0.000	0.000	0.000	0.000	0.000	0.000
109	0.72000	963.707	290.479	85.205	0.000	0.000	0.000	0.000	0.000	0.000
110	0.72667	963.681	290.378	85.193	0.000	0.000	0.000	0.000	0.000	0.000
111	0.73333	963.743	290.388	85.200	0.000	0.000	0.000	0.000	0.000	0.000
112	0.74000	963.740	290.322	85.201	0.000	0.000	0.000	0.000	0.000	0.000
113	0.74667	963.726	290.297	85.211	0.000	0.000	0.000	0.000	0.000	0.000
114	0.75333	963.740	290.253	85.237	0.000	0.000	0.000	0.000	0.000	0.000
115	0.76000	963.746	290.225	85.238	0.000	0.000	0.000	0.000	0.000	0.000
116	0.76667	963.753	290.190	85.255	0.000	0.000	0.000	0.000	0.000	0.000
117	0.77333	963.768	290.165	85.265	0.000	0.000	0.000	0.000	0.000	0.000
118	0.78000	963.725	290.135	85.248	0.000	0.000	0.000	0.000	0.000	0.000
119	0.78667	963.757	290.116	85.242	0.000	0.000	0.000	0.000	0.000	0.000
120	0.79333	963.748	290.079	85.279	0.000	0.000	0.000	0.000	0.000	0.000
121	0.80000	963.744	290.063	85.261	0.000	0.000	0.000	0.000	0.000	0.000
122	0.80667	963.724	290.078	85.211	0.000	0.000	0.000	0.000	0.000	0.000
123	0.81333	963.722	290.054	85.224	0.000	0.000	0.000	0.000	0.000	0.000
124	0.82000	963.741	290.016	85.255	0.000	0.000	0.000	0.000	0.000	0.000
125	0.82667	963.779	289.965	85.256	0.000	0.000	0.000	0.000	0.000	0.000
126	0.83333	963.794	289.961	85.232	0.000	0.000	0.000	0.000	0.000	0.000
127	0.84000	963.848	289.919	85.236	0.000	0.000	0.000	0.000	0.000	0.000
128	0.84667	963.864	289.893	85.253	0.000	0.000	0.000	0.000	0.000	0.000
129	0.85333	963.895	289.854	85.200	0.000	0.000	0.000	0.000	0.000	0.000
130	0.86000	963.932	289.831	85.198	0.000	0.000	0.000	0.000	0.000	0.000
131	0.86667	964.004	289.845	85.195	0.000	0.000	0.000	0.000	0.000	0.000
132	0.87333	964.051	289.784	85.187	0.000	0.000	0.000	0.000	0.000	0.000
133	0.88000	964.102	289.798	85.183	0.000	0.000	0.000	0.000	0.000	0.000
134	0.88667	964.183	289.787	85.194	0.000	0.000	0.000	0.000	0.000	0.000
135	0.89333	964.257	289.787	85.164	0.000	0.000	0.000	0.000	0.000	0.000
136	0.90000	964.349	289.780	85.141	0.000	0.000	0.000	0.000	0.000	0.000
137	0.90667	964.394	289.762	85.111	0.000	0.000	0.000	0.000	0.000	0.000
138	0.91333	964.463	289.766	85.102	0.000	0.000	0.000	0.000	0.000	0.000
139	0.92000	964.533	289.774	85.046	0.000	0.000	0.000	0.000	0.000	0.000
140	0.92667	964.555	289.770	85.034	0.000	0.000	0.000	0.000	0.000	0.000
141	0.93333	964.623	289.797	85.026	0.000	0.000	0.000	0.000	0.000	0.000
142	0.94000	964.676	289.848	84.995	0.000	0.000	0.000	0.000	0.000	0.000
143	0.94667	964.712	289.870	84.991	0.000	0.000	0.000	0.000	0.000	0.000
144	0.95333	964.696	289.831	84.919	0.000	0.000	0.000	0.000	0.000	0.000
145	0.96000	964.664	289.790	84.888	0.000	0.000	0.000	0.000	0.000	0.000
146	0.96667	964.686	289.816	84.867	0.000	0.000	0.000	0.000	0.000	0.000
147	0.97333	964.627	289.734	84.823	0.000	0.000	0.000	0.000	0.000	0.000
148	0.98000	964.611	289.712	84.814	0.000	0.000	0.000	0.000	0.000	0.000
149	0.98667	964.558	289.704	84.743	0.000	0.000	0.000	0.000	0.000	0.000
